,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,legal_dong
58181,GGB169000002,강화마니산,37.6316167,126.4336167,2023-10-16,43002.0,23,인천광역시,경기,화도면
58256,GGB161000026,국제업무단지(공항청사),37.4392667,126.4617167,2023-10-16,35026.0,23,인천광역시,경기,운서동
58257,GGB161000032,인천국제공항(3층),37.44935,126.4537,2023-10-16,35032.0,23,인천광역시,경기,운서동
58258,GGB161000048,방파제입구,37.4470833,126.5973333,2023-10-16,35048.0,23,인천광역시,경기,항동7가
58259,GGB161000049,연안부두바다쉼터,37.4471833,126.5977167,2023-10-16,35049.0,23,인천광역시,경기,항동7가
58260,GGB161000051,국제여객터미널,37.45265,126.59775,2023-10-16,35051.0,23,인천광역시,경기,항동7가
58261,GGB161000052,국제여객터미널,37.4523667,126.5979333,2023-10-16,35052.0,23,인천광역시,경기,항동7가
58262,GGB161000057,연안여객터미널,37.4533333,126.59895,2023-10-16,35057.0,23,인천광역시,경기,항동7가
58263,GGB161000060,라이프아파트,37.4522667,126.6041333,2023-10-16,35060.0,23,인천광역시,경기,항동7가
58264,GGB161000061,연안여객터미널,37.4538,126.5993,2023-10-16,35061.0,23,인천광역시,경기,항동7가
58265,GGB161000062,라이프아파트,37.4523167,126.6045167,2023-10-16,35062.0,23,인천광역시,경기,항동7가
58266,GGB161000063,연안부두어시장,37.4534667,126.6048833,2023-10-16,35063.0,23,인천광역시,경기,항동7가
58267,GGB161000065,항운아파트,37.4480833,126.62425,2023-10-16,35065.0,23,인천광역시,경기,신흥동3가
58268,GGB161000068,연안여객터미널입구,37.4548667,126.6019667,2023-10-16,35068.0,23,인천광역시,경기,항동7가
58269,GGB161000069,인천수산물센터,37.4544333,126.6046167,2023-10-16,35069.0,23,인천광역시,경기,항동7가
58270,GGB161000070,라이프쇼핑앞,37.4547,126.60325,2023-10-16,35070.0,23,인천광역시,경기,항동7가
58271,GGB161000071,연안부두어시장,37.4545,126.6055667,2023-10-16,35071.0,23,인천광역시,경기,항동7가
58272,GGB161000072,연안부두어시장,37.4545833,126.6059667,2023-10-16,35072.0,23,인천광역시,경기,항동7가
58273,GGB161000074,인천종합수산물센터,37.4555667,126.6030167,2023-10-16,35074.0,23,인천광역시,경기,항동7가
58274,GGB161000075,연안아파트,37.4502167,126.6220833,2023-10-16,35075.0,23,인천광역시,경기,항동7가
58275,GGB161000076,연안아파트,37.4506667,126.6221333,2023-10-16,35076.0,23,인천광역시,경기,항동7가
58276,GGB161000078,남항부두,37.45395,126.61285,2023-10-16,35078.0,23,인천광역시,경기,항동7가
58277,GGB161000079,남항부두,37.45385,126.6143167,2023-10-16,35079.0,23,인천광역시,경기,항동7가
58278,GGB161000081,수협(인천해양센터),37.4568167,126.6044,2023-10-16,35081.0,23,인천광역시,경기,항동7가
58279,GGB161000083,정기무역,37.4554,126.6093167,2023-10-16,35083.0,23,인천광역시,경기,항동7가
58280,GGB161000085,SK충전소,37.4562667,126.6083,2023-10-16,35085.0,23,인천광역시,경기,항동7가
58281,GGB161000086,신선초등학교,37.4515833,126.6255833,2023-10-16,35086.0,23,인천광역시,경기,항동7가
58282,GGB161000089,신선초등학교,37.4518667,126.6263667,2023-10-16,35089.0,23,인천광역시,경기,신흥동3가
58283,GGB161000098,서해5도특별경비단,37.4610333,126.6015667,2023-10-16,35098.0,23,인천광역시,경기,북성동1가
58284,GGB161000114,조달청비축기지,37.45515,126.6279,2023-10-16,35114.0,23,인천광역시,경기,항동7가
58285,GGB161000115,조달청비축기지,37.4556167,126.6287833,2023-10-16,35115.0,23,인천광역시,경기,신흥동3가
