ㄱ,주소
인천하늘중학교,인천광역시 중구 찬들로284번길 16(운남동)
신동아유치원,인천광역시 부평구 아트센터로 118(십정동.동암신동아아파트)
꿈나무유치원,인천광역시 부평구 동수로120번길 11. 꿈나무유치원 (부개동)
청송유치원,인천광역시 부평구 부평문화로 37청송유치원 (부평동.동아아파트)
꿈나라유치원,인천광역시 부평구 안남로 272(청천동.부평1.2차 금호타운)
현대유치원,인천광역시 부평구 갈월동로 66(갈산동)
연세유치원,인천광역시 부평구 세월천로 16(청천동.청천푸르지오아파트)
성심유치원,인천광역시 부평구 부흥로 323성심유치원 (부평동)
청원유치원,인천광역시 부평구 화랑로47번길 61(산곡동)
아란유치원,인천광역시 부평구 안남로 91(산곡동.현대아파트)
근산유치원,인천광역시 부평구 영성중로 53. 근산유치원 (삼산동)
새빛솔금유치원,인천광역시 부평구 주부토로 146. 새빛솔금유치원 (갈산동)
이화유치원,인천광역시 부평구 원적로 361(산곡동.산곡동한화아파트)
이노필유치원,인천광역시 부평구 수변로 64(부개동)
선화유치원,인천광역시 부평구 산곡로 23(산곡동)
엄지유치원,인천광역시 부평구 부일로 111(부개동)
햇살유치원,인천광역시 부평구 안남로 260(산곡동.현대아파트)
열림유치원,인천광역시 부평구 일신로14번길 23-1(일신동.풍림아파트 101동~110동)
성아유치원,인천광역시 부평구 마장로 48(십정동)
엔젤유치원,인천광역시 부평구 충선로 124-17(부개동)
동심유치원,인천광역시 부평구 원적로416번길 38. 동심유치원 (산곡동)
홍익유치원,인천광역시 부평구 길주로 494번길 12홍익유치원
프렌즈유치원,인천광역시 부평구 주부토로 201(갈산동.대동아파트)
한빛유치원,인천광역시 부평구 부흥로123번길 36(산곡동.뉴서울아파트)
산곡유치원,인천광역시 부평구 마장로 121. 산곡유치원 (산곡동)
파란꿈유치원,인천광역시 부평구 갈월동로 45. 파란꿈유치원 (갈산동)
은현유치원,인천광역시 부평구 길주남로125번길 12(부개동.은현빌딩)
해마루유치원,인천광역시 부평구 일신로 120(구산동.부평자이)
자연과아이들유치원,인천광역시 부평구 원적로471번길 26-6(부평동)
이바유치원,인천광역시 부평구 마장로 168. 17 (산곡동)
인천동암초등학교병설유치원,인천광역시 부평구 동암남로35번길 4(십정동. 인천동암초등학교)
인천마곡초등학교병설유치원,인천광역시 부평구 마곡로27번길 16(산곡동. 인천마곡초등학교)
인천미산초등학교병설유치원,인천광역시 부평구 원적로 391(산곡동. 미산초등학교)
드림유치원,인천광역시 부평구 충선로 158(부개동)
이든유치원,인천광역시 부평구 부개로 58(부개동)
인천백운초등학교병설유치원,인천광역시 부평구 아트센터로 130(십정동)
인천부개초등학교병설유치원,인천광역시 부평구 마분로 9. 인천부개초등학교 (부개동. 인천부개초등학교)
인천부개서초등학교병설유치원,인천광역시 부평구 부일로 39(부개동. 인천 부개서초등학교)
인천부광초등학교병설유치원,인천광역시 부평구 충선로 104(부개동. 인천부광초등학교)
인천부마초등학교병설유치원,인천광역시 부평구 안남로253번길 41(산곡동. 인천부마초등학교)
인천부평남초등학교병설유치원,인천광역시 부평구 경인로911번길 28(부평동. 인천부평남초등학교)
인천부평동초등학교병설유치원,인천광역시 부평구 부평대로88번길 19.부평동초등학교 병설 유치원(부평동)
인천부평북초등학교병설유치원,인천광역시 부평구 주부토로 292(갈산동. 인천부평북초등학교)
